idx,chapter,question,answer
16,16,How common fecal incontinence is,"Like most medical conditions, when you start talking about fecal incontinence, you find it’s more common than you might have suspected. 
A couple of studies have indicated that fecal incontinence, either frequent or occasional, occurred in about 30 percent of stroke patients in the first seven to ten days after stroke. This improved to only 10 percent at three months to a year. There was a slight increase to 15 percent by three years. 
It is most common in stroke patients who have some degree of dementia"
17,16,What are notice for nursing home solution,"One thing is for sure, if you and your caretaker cannot handle the problem
well, poor hygiene rapidly leads to other major health problems. You will
likely end up back in the hospital or in a nursing home. Fecal incontinence is
also a serious burden for a caretaker, greatly increasing the chances of
depression and physical exhaustion. If you can’t get the problem resolved
fairly quickly, a temporary or permanent move to a nursing home has to be
considered sooner rather than later."
18,16,Sign of troubles after a week stroke,"A week after a stroke, about 10 percent of stroke patients choke when eating.
Approximately 30 percent experience abnormal swallowing. This adds up to
40 percent of stroke patients with an increased rate of death, due in part to
pneumonia from food that is inhaled into the lungs. Signs of trouble:
Choking or coughing while eating
Slow chewing and swallowing
Food stuck in mouth
Chest congestion
Gurgle-like sound to the voice"
19,17,What should I ask myself to evaluate stroke my situation,"You may have to ask some hard questions of yourself and others: 
Are you a difficult patient? 
Have you been angry, emotional, demanding, or otherwise hard to be around? 
Are you critical of your caregiver and others in the household? 
Do you have unreasonable expectations? 
Are you following the advice of the health pros and doing your exercises and taking medications? 
Is your caregiver able to meet your needs consistently? 
Is your caregiver meeting his or her needs as well?
The answers to these questions will give you a good idea of whether you need help. If you are not getting better, then you are risking your remaining independence by continuing to try and go it alone. 
You can do a lot to get back on the path to recovery, but you and your family may need to ask for help."
20,17,How can I prevent the caregiver burnout,"’m sure you’ve got the idea. What can be done? Plenty! 
When the stroke survivor and the caregiver become aware of the risks in their situation and that the challenges are nobody’s fault they can work together to find solutions. Here are just a few recommendations
Invite help from friends and familyI
Find a daycare facility
Join a stroke support group
Turn to adult children
Connect with other caregivers
Renew friendships and activities
Get caregiver training
Get a good long-distance plan
Make a doctor appointment"
21,17,What if the caregiver needs medical care?,"What will happen if your caregiver is temporarily disabled by an illness? A
frank discussion opens an opportunity to anticipate difficulties and take steps
to make two lives less stressful. Knowing that you have a contingency plan in
case your caregiver becomes sick may give both of you peace of mind and,
in turn, reduce anxiety that can lead to illness."
22,17,Should I go home from the hospital immediately after stroke,"If you go home from the hospital or rehabilitation unit after a stroke, you are not prepared for
how difficult your life and your caregiver’s life can become."
23,17,What are potential causes by stroke,"Stroke often causes personality change
Stroke causes depression
Stroke causes dementia
Stroke can make you unaware of your disabilities"
24,17,What are some limitations of stoke,"Just as you will benefit from recognizing that you can get yourself from bed to bathroom if you continue your physical therapy, but you can’t drive responsibly, your spouse will benefit from learning those same distinctions. 
A 70-year-old woman may be able to help her husband dress and get to the breakfast table,
but she can’t lift him into the car. 
An adult child may be able to attend to his disabled father regularly and arrange for visiting nurses, but he can’t take on the responsibilities of his father moving in with the family."
25,17,How to evaluate the situation of stroke,"This evaluation is probably best made by someone else perhaps a professional who is both knowledgeable and more objective. But if you have always been the independent type, then you will probably be making your own assessment. Again, I advise you that your stroke may have left you with some limitations in your self-awareness. You benefit from involving your caregiver and other family members, perhaps even friends, your doctor, and the other health professionals who are aware of your situation."
26,17,What are some tips for the caregivers,"Change for the better often starts when things seem the worst. Insist on staying healthy, both mentally and physically. Insist on getting help. And take the
following advice:
 Set limits and be sure and take time off.
 Take things a day at a time.
 Get some sleep.
 Keep a list of things you need done, and when others offer help, give
them something on the list.
 Maintain a support system of friends and family.
 Mind your health and finances.
 You’re not perfect — just do your best.
 Join a support group"
27,17,What is the overview of stroke finance ,"If you were the breadwinner of the family or your income was critical to your family’s budget you may be worried about finances along with everything else. 
If you can’t work, how are you going to pay the mortgage? 
Even if you plan to return to work eventually, how will your family adjust to the reduced income in the meantime? And how will you handle all the medical expenses piling up from your hospitalization?
You may be lucky you may have a great insurance plan that will pay for all or most of your care. 
You may not be the primary breadwinner in your family after all. 
Or, best of all, your disability may be so neglible you anticipate returning to work without missing a beat.
But if you’re like most stroke survivors, you’ll experience at least some financial impact from your stroke. 
Now, I don’t claim to be a financial expert I’m a doctor, after all but I do know that the processes of collecting insurance, dealing with employers, and settling the accounts of someone with a major disabling illness is profoundly complicated."
28,17,What is the advice for stroke family that is drowning in financial workloads,"Your family may have to turn to a professional to help you sort out all your
options. I know, I know . . . you’re concerned about your limited resources,
and I’m suggesting that you pay someone to help you? Trust me, if your
family feels as if they’re drowning in financial paperwork and can’t make
sense of the various resources, your investment will garner a great return.
Here are some materials your financial advisor may request in order to help
you make some decisions:
 All recent bills, paid and unpaid
 Insurance policies
 Social Security information
 Recent income tax returns
 Paychecks/stubs
 Investment documents
 Bank account information
 Loan statements
 Mortgages and deeds"
29,17,What is the best legacy of stroke for the kids,"You have wills and powers of attorney to take care of your legal and financial legacy. 
The only way you have to protect your genetic legacy is
to educate the rest of your family on what they
can do to avoid or postpone having a stroke or
heart disease themselves. Do your kids smoke?
Have they checked their blood pressure? Do
they get exercise and watch their blood lipid
levels? Good health could be the most valuable
part of your estate. Maybe they didn’t listen to
you when they were teenagers. Maybe your
recent stroke experience and a few years of
maturity have made them better listeners."
30,17,What are the power and effects of family,"Here are some family strengths:
A family increases the effectiveness of problem-solving and results in a
better solution for everyone.
 A family provides emotional support for each other and, as a result, the
group together is happier, more productive, and has more stamina than
they would were they separate.
 A family can set priorities and establish reasonable standards and allow
its members to feel they are doing their parts. Unreasonable expectations and criticisms can be brought out into the open and dealt with
Directly."
31,18,What are some organizations that I can contact with,"Several organizations at the national level offer services and resources that reach down to local communities, though the availability varies by state and city. The American Stroke Association and the National Stroke Association are two voluntary organizations at the national level. You can join each of these organizations and participate in national programs to increase stroke education, promote research, and help stroke survivors and caretakers alike.
The groups sponsor research and publish helpful information. Both provide extensive information for patients and professionals. You do not have to be a member to benefit from the information on their Web sites.
American Stroke Association (www.strokeassociation.org) — closely affiliated with the American Heart Association
National Stroke Association (www.stroke.org)
Some government organizations that offer valuable resources are
National Institutes of Health (www.nih.gov)
Centers for Disease Control (www.cdc.gov) 
National Institute of Neurological Disorders and Stroke (www.ninds. nih.gov)
An unusual regional organization, the Stroke Belt Consortium, exists in the southeastern United States to address the needs of this high-risk area for stroke. 
You will certainly find the information on its Web site, www.strokebelt.org, helpful."
32,18,What is the simplest way to help the community to manage stroke,"Share Knowledge with Friends and Family
The only thing many of your friends and family may know about stroke is that they don’t want one. You can teach them to recognize signs and symptoms of stroke and better yet help them prevent stroke. 
Through your experiences, you may persuade them to take steps to reduce their own stroke risk
and learn what steps to take if someone they love is suddenly stricken with a stroke.
Think about it: As a stroke survivor, you have gained an advanced education in stroke and its prevention and care. 
Why not put your hard-earned knowledge to good use and teach others? From “Emergency Room 101” to graduate
classes in blood pressure and cholesterol care, you have a lot to offer your friends and family.
Simply telling the story of your stroke and how it has affected you can have a profound impact. Your friends and colleagues may not pick up on the scary public service announcements in newspapers or TV but I’ll bet the story you share with them will stick and be forwarded to people they know. You can also encourage them to be aware of the need for good stroke care in your community and the importance of building community resources. 
Your efforts may even persuade them to volunteer to help families struggling with stroke"
33,18,What are approaches to help the commu to manage stroke,"Join a Group for a More Powerful Voice
Local stroke clubs and support groups
Regional, state, and national organizations
Share Knowledge with Friends and Family
Work with Local Hospitals
Check into Emergency Medical Services
Educate Schoolchildren About Stroke
Start Your Own Stroke Recovery Group
Suggest News Stories About Stroke Champions
Get Your Community to Participate in Stroke Research
Volunteer for Stroke Research
Make Sense of Health Policy
"
34,19,What are advice for stroke recovery,"Everyone who survives stroke holds within them a remarkable tale. Your life
may not have been one of fame or celebrity, but the struggle you’ve been
engaged in is no less significant than the ones mentioned here.
Take the time to consider your own experiences and write your own story.
Reflect on your accomplishments — even the simplest steps forward. I’ll bet
when you do, you’ll discover that you, too, have an inspiring story to tell."
35,19,Are there any stroke Miss America that can recovery,"Who could have imagined that the 20-year-old college student who won the
Miss America pageant in 1963 would be struck down at the age of 28 — with a
massive stroke? In 1970, the young mother woke one morning to discover she
couldn’t move or speak. Jackie Mayer survived the near-fatal experience, and
began a long, arduous seven-year journey that required relearning how to
speak, walk, and even tie her shoes. Her rehabilitation was intense and even
when she regained the ability to overcome almost all of her disability, her
public appearances required an athletic endurance and a high level of selfdiscipline.
As she recovered, she turned outward and became a national spokesperson for
the National Stroke Association. She shot a video, A Different Kind of Beauty, to
increase stroke awareness, for the American Heart Association. Mayer wrote a
regular column for the National Stroke Association’s Be Stroke Smart publication. She served on the National Advisory Council of the National Institute of
Neurological Disorders and Stroke in Washington and has received awards for
her work in stroke. She still works as a motivational speaker. "
36,19,What is the drug of choice after stroke,TPA
37,19,Who is the first person found TPA is effective for after stroke,Writer Ken Kesey
38,19,How human can found the drug of choice after stroke,"American novelist Ken Elton Kesey became as well known for his Acid Test parties and Merry Pranksters cross-country antics as he was for his books
One Flew Over the Cuckoo’s Nest and Sometimes a Great Notion. At the height
of his popularity, Kesey, born in 1935, bridged the gap between the 1950s
Beat Generation and the 1960s hippie culture of California. Yet when Kesey
suffered a stroke at 62, TPA not LSD was the drug that saved him.
In 1997, Kesey had a stroke and was treated with TPA which had only been
approved a year earlier. He responded to treatment and regained the use of
his right arm, which had been paralyzed by the stroke. The stroke research
Community still remembers his much-publicized description of TPA as Drano
for the Brain-o.
Thanks, most likely, to TPA, his disability from stroke was minimal. In fact,
rather than slowing him down, the stroke inspired him with new energy that
lead to a final burst of creativity, including a bus tour of the United Kingdom
with some 30 passengers, performing a traveling version of his play Where’s
Merlin? before he died of cancer in 2001"
39,19,Who is the actress recover stroke,Patricia Neal
40,19,How Patricia Neal recover stroke,"A year after winning an Academy Award for her role in the movie Hud, actress Patricia Neal experienced a stroke so devastating that it put her in a coma that lasted 21 days. Actually, she had three strokes in a single day. 
She was pregnant at the time. Miraculously, she survived, gave birth to a daughter six months later, and went on to star in movies — and even received another
Oscar nomination. Hers is one of the better known stories of remarkable recovery and return to a full life after stroke.
Neal was 39 in 1966, when she developed a terrible headache followed by disorientation and vomiting. 
She had a stroke that sent her to the emergency room, where she had another and finally a third one that same day. 
These strokes were caused by subarachnoid hemorrhage. After surgery to clip the burst aneurysm, she fell into a coma. She wasn’t expected to survive.
Three weeks later, she came out of the coma, paralyzed on her right side, unable to speak or understand conversation, and with double vision. 
She had to relearn to speak and walk. Her husband, writer Roald Dahl, worked closely with her to develop a rehabilitation program that kept her occupied every minute of every day. 
This helped her to direct her anger and frustration into the drive and determination to make her mind and body do the work necessary for recovery.
She gave birth to a daughter six months after her stroke. Her recovery continued during this time. She battled depression and setbacks, but persevered and gradually began to appear in public once again. In 1968, she starred in the movie The Subject Was Roses and was nominated for an Academy Award.
Neal has appeared in many movies and television performances. 
She has also been an active spokesperson for stroke in 1978, she helped to dedicate the Patricia Neal Rehabilitation Center, in her hometown of Knoxville, Tennessee."
41,20,What are opportunities to prevent stroke,"Gathering Information
Treating High Blood Pressure
Preventing Blood Clot Formation
Reducing Cholesterol in Your Blood
Treating Atrial Fibrillation
Checking Out Your Carotid Arteries
Eating Right and Staying Hydrated
Stopping Smoking
Exercising Your Muscles and Your Brain
Writing Up a Maintenance Plan"
42,20,What are information that we should gathering for stroke prevention,"At the minimum, a recent accurate measurement of the following should be available to you if you are going to take maximum advantage of the opportunities available to you (also see the Cheat Sheet at the front of this book for a handy list you can take with you).
Weight
Height
Abdominal girth (waist measurement)
Blood pressure
HDL and LDL cholesterol levels after eight hours of fasting
Glucose tolerance test
Electrocardiogram
Chest X-ray
Carotid ultrasound
Hemoglobin and hematocrit
Cardiac stress test"
43,20,How to preventing blood clot formation,"Numerous trials among sufferers of white stroke have shown that medication helps reduce the likelihood that more blood clots will form inside your heart and the arteries of the brain.
Aspirin is the most commonly recommended drug. Aspirin is inexpensive and generally well-tolerated in the low doses now generally recommended, either one regular (325 milligrams) or one small tablet (100 or 81 milligrams) every day. 
Side effects include easy bruising and stomach pain with bleeding ulcers.
You may not tolerate aspirin — or your doctor may recommend a medication found to be more effective than aspirin. Two common alternatives are clopidogrel, known by the trade name Plavix, and Aggrenox, a combination of a very small dose of aspirin with a drug called dypyridamole. Warfarin may be another medication suggested by your doctor for preventing blood clots particularly if you have atrial fibrillation or a heart valve. 
But warfarin is not only more expensive, it entails some risks that require frequent blood testing.
Bottom line: It’s important to take the necessary steps to prevent blood clotting if you’re at risk for stroke. Medication is critical in helping with this
effort. 
Whether your doctor recommends a low dose of aspirin or one of the other medications, be sure you understand the precautions and follow the dosage guidelines as given."
44,20,How to reducing cholesterol in my blood,"Evidence supports this: People who exercise regularly and follow certain diets have healthier levels of cholesterol in their blood. 
Diet and exercise may reduce the “bad” cholesterol and increase the “good” .New information is beginning to focus on the especially harmful effects of trans fats processed foods such as solid margarine that have been hydrogenated for longer shelf life.
Repeated testing of your blood cholesterol levels should be done to determine if you are taking the correct dose for you."
45,20,Why we should eating right and staying hydrated,"Ensuring that you are fueling yourself with a healthy diet and taking in plenty
of fluids can have a direct impact on your risk of stroke. 
A diet high in certain kinds of fats (hydrogenated oils, high-fat
dairy products, and, yes, those thick slabs of steak you adore) can lead to
unhealthy cholesterol levels which means greater risk of heart attack and
Stroke."
46,20,Does smoking cause stroke,"What more can I say about tobacco use? If you always thought lung cancer
was your greatest risk from smoking, I hope you now know that far more
cases of emphysema, heart attack, and stroke result from smoking. Indeed,
one of the most dramatic changes you can make to improve your health is to
toss the cigarettes.
You’ll save money. Your clothes will smell better. Your lungs will be clearer.
You’ll reduce your stroke risk. Quit today"
47,20,What are tips for exerces,"Exercise is hard to overdo, but it is possible. A regimen that’s too difficult is not likely to last. If you hate to exercise and have started and failed before, I suggest trying walking. If you stay out of the way of cars, it is generally safe and results in fewer injuries than running.
A weight-training program managed by a physical therapist or experienced trainer can also be very helpful."
48,20,How important blood pressure is ,"First, it’s important to accurately measure your blood pressure at different times of day and in different circumstances."
49,18,What are questions that I should ask the hospital,"Questions to ask each hospital include the following:
Does the hospital have a special stroke unit with nurses trained and experienced in the care of stroke patients?
Is the emergency room prepared to respond rapidly to stroke according to national guidelines for acute stroke centers? Which guidelines does the hospital follow?
Is there an acute stroke-response team available on short notice to take care of stroke patients soon after they come to the emergency room?
Is the hospital certified by the Joint Commission on Accreditation of Healthcare Organizations (JCAHO) as a Primary Stroke Center? (JCAHO is on the Internet at www.jcaho.com.)
Does the hospital serve as a resource for patients after they are discharged following a disabling stroke? How?"
50,1,What are the most common signs of blood-vascular damage?,"The most common sign of blood-vessel damage is atherosclerosis, also known as hardening of the arteries."
51,1,What do white stroke cause?,"Blood clots block blood to the brain.
Dissection: Blood vessel lining splits.
Transient strokes."
52,1,What is TIA?,These transient strokes are officially called transient ischemic attacks. Doctors abbreviate it as TIA.
53,1,What is vascular demetia?,"When have more than one transient ischemic stroke. As the number of these small strokes add up, your brain can just slow down generally, and you can suffer from dementia, as each small stroke erodes away more of your brain. Small white ischemic stroke dementia is often called vascular dementia or vascular cognitive impairment."
54,1,What is brain bleeding?,A stroke caused by a blood vessel that breaks inside the substance of the brain is called brain bleeding.
55,1,What is intracerebral hemorrhage?,A stroke caused by a blood vessel that breaks inside the substance of the brain is called intracerebral hemorrhage.
56,1,What is brain hemorrhage?,A stroke caused by a blood vessel that breaks inside the substance of the brain is called brain hemorrhage.
57,1,"Besides the name red stroke, are there any other names?","Names for red stroke are equally varied:
subarachnoid hemorrhage (SAH),
intracranial hemorrhage,
intracerebral hemorrhage (ICH),
brain bleeding,
brain hemorrhage."
58,1,What are others name of white stroke?,"Here are some other names for white stroke:
Occlusive stroke,
Cerebrovascular accident (CVA),
Acute ischemic stroke,
Atherothrombotic stroke,
Embolic stroke,
Small vessel stroke,
Lacunar stroke,
Large vessel stroke,
Cardioembolic stroke."
59,1,What is  subarachnoid hemorrhage?,"Sometimes red stroke or hemorrhagic strokes are caused by bleeding just outside the brain, but still inside the skull. This type of red stroke is known as subarachnoid hemorrhage."
60,1,"Could you tell me, what are the common signs of blood-vessel?","The most common sign of blood-vessel damage is atherosclerosis, also known as hardening of the arteries."
61,1,What is aneurysm?,It is a little peanut or marble-sized bubble or pouch that forms at a Y-junction in a brain-bound artery. This bubble is called an aneurysm.
62,1,Are there methods to improve stroke - free future?,"Treat high blood pressure with medication, if necessary.
Reduce sodium in your diet to help control high blood pressure.
Stop smoking,
Lower “bad” cholesterol and raise “good” cholesterol through medication and diet.
Maintain a healthy weight, which may reduce blood pressure and.
Improve cholesterol levels.
For women, consider the use of oral contraceptives or estrogen replacement therapy with the advice of a physician."
63,1,What diseases are more likely to lead to red stroke?,"High blood pressure or diabetes are disease, that lead to stroke"
64,1,What are the risk factors of stroke that beyond controlling?,"You’ve already had a stroke.
You are 65 or older.
You are African American.
You are Hispanic.
Stroke runs in your family. 
You are a man.
You have diabetes."
65,1,How to quickly treat white stroke?,"In ischemic stroke (white stroke), the goal is to dissolve or remove the blood clot as quickly as possible before the affected brain has gone from ischemia to infarction, or brain cell death. This is most often done with a drug called tissue plasmino gen activator — or TPA."
66,1,How to treat red stroke?,"Lower your blood pressure,
Reduce any brain swelling,
Keep you breathing or surgery y to patch an aneurysm or repair a ruptured vessel."
67,1,"After having a stroke, what do I need to do to stop having stroke?",Check with your own doctor and with stroke patients in your community to find stroke specialists and experienced therapists.
68,2,What is CT scan?,"The CT scan, the most common scan used on the brain, involves X-rays, using about the same amount of radiation as a chest X-ray"
69,2,What other names does CT scan have?,CT scan is also called a CAT scan. CAT stands for computerized axial tomography.
70,2,CT scan procedure like?,"To have a CT scan of your head, you are placed on a large, movable table, and your head is positioned in the middle of a futuristic-looking metal-and-plastic donut. X-rays are taken from many different angles as the emitter orbits around your head. In about five minutes, the scan process is completed. A computer constructs an image of the brain inside the skull by adding together all the information."
71,2,Could you tell me what is MRI?,"The magnetic resonance imaging, or MRI, scan can look a lot like the CT scan, but it uses magnetism and radio waves instead of X-rays to form images."
72,2,What are the benefits of an MRI scan over a CT scan,"The result is a much more detailed picture of the brain than a CT scan provides. However, An MRI scan takes longer to perform and requires the patient to hold still in a very confined space."
73,2,Can you tell me about PET scan?,"A positron emission tomography, or PET, scan can actually show the chemical activity of the brain via the introduction of special radioactive compounds into the brain. The result is in color, but are not as detailed as CT and MRI scans. For the present time, PET scans are for research purpose."
74,3,What is Infarction?,Infarction is the process of cells dying because of insufficient blood flow.
75,3,What are the risk factors of white stroke?,"High blood pressure.
Fat and atherosclerosis
Smoking tobacco.
Atrial fibrillation.
Estrogen: Pregnancy, the pill, and
Hormone-replacement supplements and other risks are risk factor of white stroke"
76,3,"I don't know Estrogen, what is it?",Estrogen is a hormone that occurs naturally in women
77,3,Why does Estrogen lead to white stroke?,"Estrogen levels are especially high in pregnancy, when it is a good idea to be able to clot and prevent excessive bleeding. Many women also take estrogen orally in birth control pills or in hormone-replacement supplements during menopause. However, this is increase the occurrence of blood clots."
78,3,How White Stroke Injures the Brain,"White ischemic stroke is caused by a blood clot blocking an artery to the brain. Either the flow is completely or partially cut off to some portion of the brain that depends primarily on that artery for blood. As time passes, brain cells in the affected region stop their usual function as they run out of oxygen. After a short time, if blood flow is not restored, the brain cells are not able to keep up with their basic needs for survival. When this happens, the cells begin to die, and their cell walls begin to break down. For a while, the brain can hold its breath. Some cells in the brain can survive longer without oxygen than others. Some can steal enough oxygen from nearby blood vessels that are still flowing to keep themselves alive. However, others start dying within minutes of the first deprivation of blood. Most of the cells die within three to four hours."
79,3,What are the different sizes of white strokes,"Big strokes: Blocking a major artery
Medium stroke: Blocking branches of main trunk arteries
Small strokes: Cross circulation minimizes injury"
80,3,Could you tell me what are diagnostic methods for white stroke?,"There are many diagnostic methods for white stroke such as CT and MRI scan, Ultrasound, Angiograms and other tests"
81,3,What white stroke treatments are there?,Dissolving the clot is the most likely method of treating white strokes at the moment.
82,3,What is FDA treatment?,"FDA treatment is TPA (tissue plasminogen activator), a drug that dissolves the blood clot that is blocking a brain artery and causing ischemia in part of the brain."
83,4,What is transient stroke?,It is called TIA. This is type of stoke that take place in a short time.
84,4,How to Recognize a Transient Stroke,"If you have a little spell that starts out like a stroke but clears up, it could be a transient stroke.
For instance, Arm or leg falls asleep, Dizzy spell, Migraine headaches, Seizure, Diabetes."
85,1,What are symp of stroke?,"Most strokes are painless, and the symptoms."
86,1,How does stroke occurs?,A brain attack strikes its victims quickly and powerfully and without warning.
87,1,What are risk factors of stroke?,"High blood pressure,
High cholesterol,
Obesity, and diabetes possibly serving as warning signs that the brain is in danger."
88,1,Why does stroke occurs?,"The glucose and oxygen transported by one of the brain’s arteries are not reaching some part of the brain, which in less than a minute will begin to shut down. And you will show signs of stroke"
89,1,"Could you tell me, what are signs of stroke?","The 50 professional groups forming the Brain Attack Coalition describe the signs of stroke as follows
Sudden numbness or weakness of face, arm, or leg, especially on one
side of the body;
Sudden confusion, trouble speaking or understanding speech;
Sudden trouble seeing in one or both eyes;
Sudden trouble walking, dizziness, loss of balance or coordination;
Sudden severe headache with no known cause;"
90,1,why is it that a blocked artery in brain causes I to lose control,"Suppose a small blood clot forms in your heart and flows with the blood up into your brain and plugs an artery that feeds a part of your brain near the top of your head. Normally, that part of the brain sends nerve impulses down threadlike fibers through the base of your brain and along your spinal cord down to a point a couple of inches below your lowest rib. There those nerve fibers connect to other nerve fibers that extend down to muscles in your legs. But without blood flow, the affected part of the brain stops sending messages. when you lose control."
91,1,Why does a stroke last for a few minutes can lead to a major injury?,Most other cells in the body can survive for up to an hour without blood flow. The brain cells stop working in a matter of seconds and start dying after five minutes
92,1,How to recognize Stroke?,"Sometimes, with severe headache, for example, it’s hard to tell whether a stroke is happening at all because the symptoms are similar to those of a migraine headache. A stroke might cause dizziness that is difficult to distinguish from an inner-ear infection."
93,1,how should i classify stroke?,"Some strokes are caused by broken blood vessels which results in blood in the brain or brain area (thus, the red);
other strokes are caused by the blockage of vessels to the brain, so no blood gets there (hence, white)."
94,1,Why do white stroke call white?,"If the clot blocks blood to a part of your brain, you have a stroke. If the clot stays in place for even a short time, part of your brain dies, leaving a hole called a brain infarction. The affected area of brain turns from pink to white because there is no red blood flowing (another good reason to refer to this type of stroke as white)."
95,1,What is brain infarction?,"Sometimes it's called white stroke. Because, If the clot blocks blood to a part of your brain, you have a stroke. If the clot stays in place for even a short time, part of your brain dies, leaving a hole called a brain infarction."
96,1,When red and white stroke occur together,White ischemic strokes can turn red if a blood vessel is injured and breaks in the area where lack of blood flow caused a brain infarction. The bleeding can become a major intracranial hemorrhage or it may just be a small leak that doesn’t do much more damage than has already been done by the ischemia.
97,5,What do brain hemorrhages causes?,High blood pressure particularly longstanding high blood pressure is the leading cause of brain hemorrhages.
98,5,When does a white stroke change to a red stroke?,White ischemic strokes can turn red if a blood vessel is injured and breaks in the area where lack of blood flow caused a brain infarction. The bleeding can become a major intracranial hemorrhage or it may just be a small leak that doesn’t do much more damage than has already been done by the ischemia.
